year	paper-Name	author
2015	QuickScorer: A Fast Algorithm to Rank Documents with Additive Ensembles of Regression Trees	Claudio Lucchese, Istituto di Scienza e Tecnologie dell'Informazione;Franco Maria Nardini, Istituto di Scienza e Tecnologie dell'Informazione ;Salvatore Orlando, IUAV University of Venice ;Raffaele Perego, Istituto di Scienza e Tecnologie dell'Informazione ;Nicola Tonellotto, Istituto di Scienza e Tecnologie dell'Informazione ;Rossano Venturini, Istituto di Scienza e Tecnologie dell'Informazione
2014	Partitioned Elias-Fano Indexes	Giuseppe Ottaviano, Istituto di Scienza e Tecnologie dell'Informazione ;Rossano Venturini, University of Pisa
2013	Beliefs and Biases in Web Search	Ryen W. White, Microsoft
2012	Time-Based Calibration of Effectiveness Measures	Mark Smucker & Charles Clarke, University of Waterloo
2011	Find It If You Can: A Game for Modeling Different Types of Web Search Success Using Interaction Data	Mikhail Ageev, Moscow State University;Qi Guo, Emory University ;Dmitry Lagun, Emory University ;Eugene Agichtein, Emory University
2010	Assessing the Scenic Route: Measuring the Value of Search Trails in Web Logs	Ryen W. White, Microsoft ;Jeff Huang, University of Washington
2009	Sources of evidence for vertical selection	Jaime Arguello, Carnegie Mellon University;Fernando Diaz, Yahoo ;Jamie Callan, Carnegie Mellon University ;Jean-Francois Crespo, Yahoo
2008	Algorithmic Mediation for Collaborative Exploratory Search	Jeremy Pickens, FX Palo Alto Lab;Gene Golovchinsky, FX Palo Alto Lab ;Chirag Shah, University of North Carolina at Chapel Hill ;Pernilla Qvarfordt, FX Palo Alto Lab ;Maribeth Back, FX Palo Alto Lab
2007	Studying the Use of Popular Destinations to Enhance Web Search Interaction	Ryen W. White, Microsoft;Mikhail Bilenko, Microsoft ;Silviu Cucerzan, Microsoft
2006	Minimal Test Collections for Retrieval Evaluation	Ben Carterette, University of Massachusetts Amherst;James Allan, University of Massachusetts Amherst ;Ramesh Sitaraman, University of Massachusetts Amherst
2005	Learning to estimate query difficulty: including applications to missing content detection and distributed information retrieval	Elad Yom-Tov, IBM;Shai Fine, IBM ;David Carmel, IBM ;Adam Darlow, IBM
2004	A Formal Study of Information Retrieval Heuristics	Hui Fang, University of Illinois at Urbana–Champaign;Tao Tao, University of Illinois at Urbana–Champaign ;ChengXiang Zhai, University of Illinois at Urbana–Champaign
2003	Re-examining the potential effectiveness of interactive query expansion	Ian Ruthven, University of Strathclyde
2002	Novelty and redundancy detection in adaptive filtering	Yi Zhang, Carnegie Mellon University;Jamie Callan, Carnegie Mellon University ;Thomas Minka, Carnegie Mellon University
2001	Temporal summaries of new topics	James Allan, University of Massachusetts Amherst;Rahul Gupta, University of Massachusetts Amherst ;Vikas Khandelwal, University of Massachusetts Amherst
2000	IR evaluation methods for retrieving highly relevant documents	Kalervo Järvelin & Jaana Kekäläinen, University of Tampere
1999	Cross-language information retrieval based on parallel texts and automatic mining of parallel texts from the Web	Jian-Yun Nie, Université de Montréal;Michel Simard, Université de Montréal ;Pierre Isabelle, Université de Montréal ;Richard Durand, Université de Montréal
1998	A theory of term weighting based on exploratory data analysis	Warren R. Greiff, University of Massachusetts Amherst
1997	Feature selection, perceptron learning, and a usability case study for text categorization	Hwee Tou Ng, Defence Science Organisation;Wei Boon Goh, Ministry of Defence ;Kok Leong Low, Ministry of Defence
1996	Retrieving spoken documents by combining multiple index sources	Gareth Jones, University of Cambridge;Jonathan Foote, University of Cambridge ;Karen Spärck Jones, University of Cambridge ;Steve Young, University of Cambridge
SIGMETRICS (Performance)		
2021	Nudge: Stochastically Improving upon FCFS	Isaac Grosof, Carnegie Mellon University;Kunhe Yang, Tsinghua University ;Ziv Scully , Carnegie Mellon University ;Mor Harchol-Balter, Carnegie Mellon University
2020	Rateless Codes for Near-Perfect Load Balancing in Distributed Matrix-Vector Multiplication	Ankur Mallik, Carnegie Mellon University;Malhar Chaudhari, Oracle Corporation ;Utsav Sheth, Automation Anywhere ;Ganesh Palanikumar, Apple ;Gauri Joshi, Carnegie Mellon University
2019	Computationally Efficient Estimation of the Spectral Gap of a Markov Chain	Richard Combes, Concours Centrale-Supélec ;Mikael Touati, Orange Labs
2018	A Refined Mean Field Approximation	Nicolas Gast, Inria ;Benny Van Houdt, University of Antwerp
2017	Accelerating Performance Inference over Closed Systems by Asymptotic Methods	Giuliano Casale, Imperial College London
2016	On the Duration and Intensity of Competitions in Nonlinear Pólya Urn Processes with Fitness	Bo Jiang, University of Massachusetts Amherst;Daniel R. Figueiredo, Federal University of Rio de Janeiro ;Bruno Ribeiro, Purdue University ;Don Towsley, University of Massachusetts Amherst
2015	Spy vs. Spy: Rumor Source Obfuscation	Giulia Fanti, University of California, Berkeley;Peter Kairouz, University of Illinois at Urbana–Champaign ;Sewoong Oh, University of Illinois at Urbana–Champaign ;Pramod Viswanath, University of Illinois at Urbana–Champaign
2014	Concave switching in single and multihop networks	Neil Walton, University of Amsterdam
2013	Queueing System Topologies with Limited Flexibility	John Tsitsiklis & Kuang Xu, Massachusetts Institute of Technology
2012	Temperature management in data centers: why some (might) like it hot	Nosayba El-Sayed, University of Toronto;Ioan Stefanovici, University of Toronto ;George Amvrosiadis, University of Toronto ;Andy A. Hwang, University of Toronto ;Bianca Schroeder, University of Toronto
2011	Topology Discovery of Sparse Random Graphs With Few Participants	Animashree Anandkumar, University of California, Irvine;Avinatan Hassidim, Google ;Jonathan Kelner, Massachusetts Institute of Technology
2010	Load balancing via random local search in closed and open systems	Ayalvadi Ganesh, University of Bristol;Sarah Lilienthal, University of Cambridge ;D. Manjunath, Indian Institute of Technology Kanpur ;Alexandre Proutière, Microsoft ;Florian Simatos, Inria
2009	The Age of Gossip: Spatial Mean Field Regime	Augustin Chaintreau, Technicolor;Jean-Yves Le Boudec, École Polytechnique Fédérale de Lausanne ;Nikodin Ristanovic, École Polytechnique Fédérale de Lausanne
2008	Counter Braids: A Novel Counter Architecture for Per-Flow Measurement	Yi Lu, Stanford University;Andrea Montanari, Stanford University ;Balaji Prabhakar, Stanford University ;Sarang Dharmapurikar, Cisco Systems ;Abdul Kabbani, Stanford University
2007	Modeling the Relative Fitness of Storage	Michael P. Mesnier, Intel;Matthew Wachs, Carnegie Mellon University ;Raja R. Sambasivan, Carnegie Mellon University ;Alice X. Zheng, Carnegie Mellon University ;Gregory R. Ganger, Carnegie Mellon University
2006	Maximizing throughput in wireless networks via gossiping	Eytan Modiano, Massachusetts Institute of Technology;Devavrat Shah, Massachusetts Institute of Technology ;Gil Zussman, Massachusetts Institute of Technology
2005	Coupon replication systems	Laurent Massoulié & Milan Vojnović, Microsoft
2004	On performance bounds for the integration of elastic and adaptive streaming flows	Thomas Bonald & Alexandre Proutiere, France Telecom
1996	Supporting stored video: reducing rate variability and end-to-end resource requirements through optimal smoothing	James D. Salehi, University of Massachusetts Amherst;Zhi-Li Zhang, University of Massachusetts Amherst ;James F. Kurose, University of Massachusetts Amherst ;Don Towsley, University of Massachusetts Amherst
	Exploiting Process Lifetime Distributions for Dynamic Load Balancing	Mor Harchol-Balter & Allen B. Downey, University of California, Berkeley
SIGMOD (Databases)		
2021	Bao: Making Learned Query Optimization Practical	Ryan Marcus, Massachusetts Institute of Technology;Parimarjan Negi, Massachusetts Institute of Technology ;Hongzi Mao, Massachusetts Institute of Technology ;Nesime Tatbul, Massachusetts Institute of Technology ;Mohammad Alizadeh, Massachusetts Institute of Technology ;Tim Kraska, Massachusetts Institute of Technology
	DFI - The Data Flow Interface for High-Speed Networks	Lasse Thostrup, TU Darmstadt;Jan Skrzypczak, Zuse Institute ;Matthias Jasny, TU Darmstadt ;Tobias Ziegler, TU Darmstadt ;Carsten Binnig, TU Darmstadt
2020	ShapeSearch: A Flexible and Efficient System for Shape-based Exploration of Trendlines	Tarique Siddiqui, University of Illinois at Urbana–Champaign;Paul Luh, University of Illinois at Urbana–Champaign ;Zesheng Wang, University of Illinois at Urbana–Champaign ;Karrie Karahalios, University of Illinois at Urbana–Champaign ;Aditya Parameswaran, University of Illinois at Urbana–Champaign
	Pump Up the Volume: Processing Large Data on GPUs with Fast Interconnects	Clemens Lutz, DFKI GmbH;Sebastian Breß, Technical University of Berlin ;Steffen Zeuch, DFKI GmbH ;Tilmann Rabl, HPI Check ;Volker Markl, DFKI GmbH
2019	Interventional Fairness: Causal Database Repair for Algorithmic Fairness	Babak Salimi, University of Washington;Luke Rodriguez, University of Washington ;Bill Howe, University of Washington ;Dan Suciu, University of Washington
2018	SuRF: Practical Range Query Filtering with Fast Succinct Tries	Huanchen Zhang, Carnegie Mellon University;Hyeontaek Lim, Carnegie Mellon University ;Viktor Leis, Technical University of Munich ;David G. Andersen, Carnegie Mellon University ;Michael Kaminsky, Intel ;Kimberly Keeton, Hewlett Packard ;Andrew Pavlo, Carnegie Mellon University
2017	Parallelizing Sequential Graph Computations	Wenfei Fan, University of Edinburgh;Jingbo Xu, University of Edinburgh ;Yinghui Wu, Washington State University ;Wenyuan Yu, Beihang University ;Jiaxin Jiang, Hong Kong Baptist University ;Zeyu Zheng, Peking University ;Bohan Zhang, Peking University ;Yang Cao, University of Edinburgh ;Chao Tian, University of Edinburgh
2016	Wander Join: Online Aggregation via Random Walks	Feifei Li, University of Utah;Bin Wu, Hong Kong University of Science and Technology ;Ke Yi, Hong Kong University of Science and Technology ;Zhuoyue Zhao, Shanghai Jiao Tong University
2015	DBSCAN Revisited: Mis-Claim, Un-Fixability, and Approximation	Junhao Gan & Yufei Tao, The Chinese University of Hong Kong
2014	Materialization Optimizations for Feature Selection Workloads	Ce Zhang, Stanford University;Arun Kumar, University of Wisconsin–Madison ;Christopher Ré, Stanford University
2013	Massive Graph Triangulation	Xiaocheng Hu, The Chinese University of Hong Kong;Yufei Tao, The Chinese University of Hong Kong ;Chin-Wan Chung, KAIST
2012	High-Performance Complex Event Processing over XML Streams	Barzan Mozafari, Massachusetts Institute of Technology;Kai Zeng, University of California, Los Angeles ;Carlo Zaniolo, University of California, Los Angeles
2011	Entangled Queries: Enabling Declarative Data-Driven Coordination	Nitin Gupta, Cornell University;Lucja Kot, Cornell University ;Sudip Roy, Cornell University ;Gabriel Bender, Cornell University ;Johannes Gehrke, Cornell University ;Christoph Koch, École Polytechnique Fédérale de Lausanne
2010	FAST: fast architecture sensitive tree search on modern CPUs and GPUs	Changkyu Kim, Intel;Jatin Chhugani, Intel ;Nadathur Satish, Intel ;Eric Sedlar, Oracle Corporation ;Anthony D. Nguyen, Intel ;Tim Kaldewey, Oracle Corporation ;Victor W. Lee, Intel ;Scott A. Brandt, University of California, Santa Cruz ;Pradeep Dubey, Intel
2009	Generating example data for dataflow programs	Christopher Olston, Yahoo;Shubham Chopra, Yahoo ;Utkarsh Srivastava, Yahoo
2008	Serializable isolation for snapshot databases	Michael J. Cahill, University of Sydney;Uwe Röhm, University of Sydney ;Alan D. Fekete, University of Sydney
	Scalable Network Distance Browsing in Spatial Databases	Hanan Samet, University of Maryland;Jagan Sankaranarayanan, University of Maryland ;Houman Alborzi, University of Maryland
2007	Compiling mappings to bridge applications and databases	Sergey Melnik, Microsoft;Atul Adya, Microsoft ;Philip A. Bernstein, Microsoft
	Scalable Approximate Query Processing with the DBO Engine	Christopher Jermaine, University of Florida;Subramanian Arumugam, University of Florida ;Abhijit Pol, University of Florida ;Alin Dobra, University of Florida
2006	To search or to crawl?: towards a query optimizer for text-centric tasks	Panagiotis G. Ipeirotis, New York University;Eugene Agichtein, Microsoft ;Pranay Jain, Columbia University ;Luis Gravano, Columbia University
2004	Indexing spatio-temporal trajectories with Chebyshev polynomials	Yuhan Cai & Raymond T. Ng, University of British Columbia
2003	Spreadsheets in RDBMS for OLAP	Andrew Witkowski, Oracle Corporation;Srikanth Bellakonda, Oracle Corporation ;Tolga Bozkaya, Oracle Corporation ;Gregory Dorman, Oracle Corporation ;Nathan Folkert, Oracle Corporation ;Abhinav Gupta, Oracle Corporation ;Lei Shen, Oracle Corporation ;Sankar Subramanian, Oracle Corporation
2001	Locally adaptive dimensionality reduction for indexing large time series databases	Eamonn Keogh, University of California, Irvine;Kaushik Chakrabarti, University of California, Irvine ;Michael Pazzani, University of California, Irvine ;Sharad Mehrotra, University of California, Irvine
2000	XMill: an efficient compressor for XML data	Hartmut Liefke, University of Pennsylvania ;Dan Suciu, AT&T Laboratories
1999	DynaMat: a dynamic view management system for data warehouses	Yannis Kotidis & Nick Roussopoulos, University of Maryland
1998	Efficient transparent application recovery in client-server information systems	David Lomet & Gerhard Weikum, Microsoft
	Integrating association rule mining with relational database systems: alternatives and implications	Sunita Sarawagi, IBM;Shiby Thomas, University of Florida ;Rakesh Agrawal, IBM
1997	Fast parallel similarity search in multimedia databases	Stefan Berchtold, Ludwig Maximilian University of Munich;Christian Böml, Ludwig Maximilian University of Munich ;Bernhard Braunmüller, Ludwig Maximilian University of Munich ;Daniel A. Keim, Ludwig Maximilian University of Munich ;Hans-Peter Kriegel, Ludwig Maximilian University of Munich
1996	Implementing data cubes efficiently	Venky Harinarayan, Stanford University;Anand Rajaraman, Stanford University ;Jeffrey D. Ullman, Stanford University
	Fast Subsequence Matching in Time-Series Databases	Christos Faloutsos, University of Maryland;M. Ranganathan, University of Maryland ;Yannis Manolopoulos, University of Maryland
SODA (Theory)		
2021	Solving Sparse Linear Systems Faster than Matrix Multiplication	Richard Peng & Santosh Vempala, Georgia Institute of Technology
2020	Chasing Convex Bodies Optimally	Mark Sellke, Stanford University
	Chasing Convex Bodies with Linear Competitive Ratio	C.J. Argue, Carnegie Mellon University;Anupam Gupta, Carnegie Mellon University ;Guru Guruganesh, Google ;Ziye Tang, Carnegie Mellon University
2019	Sublinear Algorithms for (∆ + 1) Vertex Coloring	Sepehr Assadi, University of Pennsylvania;Yu Chen, University of Pennsylvania ;Sanjeev Khanna, University of Pennsylvania
2018	Approaching 3/2 for the s-t-path TSP	Vera Traub & Jens Vygen, University of Bonn
	Online Bipartite Matching with Amortized O(log2 N)Replacements	Aaron Bernstein, Technical University of Berlin;Jacob Holm, University of Copenhagen ;Eva Rotenberg, Technical University of Denmark
2017	Subquadratic Algorithms for the Diameter and the Sum of Pairwise Distances in Planar Graphs	Sergio Cabello, University of Ljubljana
	A (2 + Є) Approximation for Maximum Weight Matching in the Semi-Streaming Model	Ami Paz, Institut de Recherche en Informatique Fondamentale ;Gregory Schwartzman, National Institute of Informatics
2016	An Improved Distributed Algorithm for Maximal Independent Set	Mohsen Ghaffari, Massachusetts Institute of Technology
	Near-Optimal Light Spanners	Shiri Chechik, Tel Aviv University ;Christian Wulff-Nilsen, University of Copenhagen
2015	The Parameterized Complexity of k-Biclique	Bingkai Lin, University of Tokyo
2014	Polynomiality for Bin Packing with a Constant Number of Item Types	Michel X. Goemans & Thomas Rothvoß, Massachusetts Institute of Technology
	An Almost-Linear-Time Algorithm for Approximate Max Flow in Undirected Graphs, and its Multicommodity Generalizations	Jonathan A. Kelner, Massachusetts Institute of Technology;Yin Tat Lee, Massachusetts Institute of Technology ;Lorenzo Orecchia, Massachusetts Institute of Technology ;Aaron Sidford, Massachusetts Institute of Technology
2013	A Simple Algorithm for the Graph Minor Decomposition - Logic meets Structural Graph Theory	Martin Grohe, RWTH Aachen University;Ken-ichi Kawarabayashi, National Institute of Informatics ;Bruce Reed, McGill University
	Dynamic graph connectivity in polylogarithmic worst case time	Bruce M. Kapron, University of Victoria;Valerie King, University of Victoria ;Ben Mountjoy, University of Victoria
2012	Computing all maps into a sphere	Martin Čadek, Masaryk University;Marek Krčál, Charles University ;Jiří Matoušel, Charles University ;Francis Sergeraert, Joseph Fourier University ;Lukáš Vokřínel, Masaryk University ;Uli Wagner, ETH Zurich
2011	An Almost Optimal Unrestricted Fast Johnson-Lindenstrauss Transform	Nir Ailon, Technion – Israel Institute of Technology ;Edo Liberty, Yahoo
2010	An O(log n/log log n)-approximation Algorithm for the Asymmetric Traveling Salesman Problem	Arash Asadpour, Stanford University;Michel X. Goemans, Massachusetts Institute of Technology ;Aleksander Mądry, Massachusetts Institute of Technology ;Shayan Oveis Gharan, Stanford University ;Amin Saberi, Stanford University
2009	Natural Algorithms	Bernard Chazelle, Princeton University
SOSP (Operating Systems)		
2021	Kangaroo: Caching Billions of Tiny Objects on Flash,	Sara McAllister, Carnegie Mellon University;Benjamin Berg, Carnegie Mellon University ;Julian Tutuncu-Macias, Carnegie Mellon University ;Juncheng Yang, Carnegie Mellon University ;Sathya Gunasekar, Facebook ;Jimmy Lu, Facebook ;Daniel Berger, University of Washington ;Nathan Beckmann, Carnegie Mellon University ;Gregory R. Ganger, Carnegie Mellon University
	LineFS: Efficient SmartNIC Offload of a Distributed File System with Pipeline Parallelism	Jongyul Kim, KAIST;Insu Jang, KAIST ;Waleed Reda, Université catholique de Louvain ;Jaeseong Im, KAIST ;Marco Canini, KAUST ;Dejan Kostić, Royal Institute of Technology ;Youngjin Kwon, KAIST ;Simon Peter, University of Texas at Austin ;Emmett Witchel, University of Texas at Austin
	Using Lightweight Formal Methods to Validate a Key-Value Storage Node in Amazon S3	James Bornholt, Amazon;Rajeev Joshi, Amazon ;Vytautas Astrauskas, ETH Zurich ;Brendan Cully, Amazon ;Bernhard Kragl, Amazon ;Seth Markle, Amazon ;Kyle Sauri, Amazon ;Drew Schleit, Amazon ;Grant Slatton, Amazon ;Serdar Tasiran, Amazon ;Jacob Van Geffen, University of Washington ;Andrew Warfield, Amazon
2019	Scaling symbolic evaluation for automated verification of systems code with Serval	Luke Nelson, University of Washington;James Bornhold, University of Washington ;Ronghui Gu, Columbia University ;Andrew Baumann, Microsoft ;Emina Torlak, University of Washington ;Xi Wang, University of Washington
	Efficient Scalable Thread-Safety-Violation Detection	Guangpu Li, University of Chicago;Shan Lu, University of Chicago ;Madanlal Musuvathi, Microsoft ;Suman Nath, Microsoft ;Rohan Padhye, University of California, San Diego
2017	The Efficient Server Audit Problem, Deduplicated Re-execution, and the Web	Cheng Tan, New York University;Lingfan Yu, New York University ;Joshua B. Leners, Two Sigma ;Michael Walfish, New York University
	DeepXplore: Automated Whitebox Testing of Deep Learning Systems	Kexin Pei, Columbia University;Yinzhi Cao, Lehigh University ;Junfeng Yang, Columbia University ;Suman Jana, Columbia University
2015	Pivot Tracing: Dynamic Causal Monitoring for Distributed Systems	Jonathan Mace, Brown University;Ryan Roelke, Brown University ;Rodrigo Fonseca, Brown University
	Using Crash Hoare Logic for Certifying the FSCQ File System	Haogang Chen, Massachusetts Institute of Technology;Daniel Ziegler, Massachusetts Institute of Technology ;Tej Chajed, Massachusetts Institute of Technology ;Adam Chlipala, Massachusetts Institute of Technology ;M. Frans Kaashoek, Massachusetts Institute of Technology ;Nickolai Zeldovich, Massachusetts Institute of Technology
	Coz: Finding Code that Counts with Causal Profiling	Charlie Curtsinger, Grinnell College ;Emery Berger, University of Massachusetts Amherst
2013	The Scalable Commutativity Rule: Designing Scalable Software for Multicore Processors	Austin T. Clements, Massachusetts Institute of Technology;M. Frans Kaashoek, Massachusetts Institute of Technology ;Nickolai Zeldovich, Massachusetts Institute of Technology ;Robert T. Morris, Massachusetts Institute of Technology ;Eddie Kohler, Harvard University
	Towards optimization-safe systems: analyzing the impact of undefined behavior	Xi Wang, Massachusetts Institute of Technology;Nickolai Zeldovich, Massachusetts Institute of Technology ;M. Frans Kaashoek, Massachusetts Institute of Technology ;Armando Solar-Lezama, Massachusetts Institute of Technology
	Naiad: A Timely Dataflow System	Derek G. Murray, Microsoft;Frank McSherry, Microsoft ;Rebecca Isaacs, Microsoft ;Michael Isard, Microsoft ;Paul Barham, Microsoft ;Martíın Abadi, Microsoft
2011	Cells: A Virtual Mobile Smartphone Architecture	Jeremy Andrus, Columbia University;Christoffer Dall, Columbia University ;Alexander Van't Hof, Columbia University ;Oren Laadan, Columbia University ;Jason Nieh, Columbia University
	A File is Not a File: Understanding the I/O Behavior of Apple Desktop Applications	Tyler Harter, University of Wisconsin–Madison;Chris Dragga, University of Wisconsin–Madison ;Michael Vaughn, University of Wisconsin–Madison ;Andrea C. Arpaci-Dusseau, University of Wisconsin–Madison ;Remzi H. Arpaci-Dusseau, University of Wisconsin–Madison
2009	FAWN: A Fast Array of Wimpy Nodes	David G. Andersen, Carnegie Mellon University;Jason Franklin, Carnegie Mellon University ;Michael Kaminsky, Intel ;Amar Phanishayee, Carnegie Mellon University ;Lawrence Tan, Carnegie Mellon University ;Vijay Vasudevan, Carnegie Mellon University
	RouteBricks: Exploiting Parallelism to Scale Software Routers	Mihai Dobrescu, École Polytechnique Fédérale de Lausanne;Norbert Egi, University of Lancaster ;Katerina Argyraki, École Polytechnique Fédérale de Lausanne ;Byung-Gon Chun, Intel ;Kevin Fall, Intel ;Gianluca Iannaccone, Intel ;Allan Knies, Intel ;Maziar Manesh, Intel ;Sylvia Ratnasamy, Intel
	seL4: Formal Verification of an OS Kernel	Gerwin Klein, National ICT Australia;Kevin Elphinstone, National ICT Australia ;Gernot Heiser, National ICT Australia ;June Andronick, National ICT Australia ;David Cock, National ICT Australia ;Philip Derrin, National ICT Australia ;Dhammika Elkaduwe, National ICT Australia ;Kai Engelhardt, National ICT Australia ;Rafal Kolanski, National ICT Australia ;Michael Norrish, National ICT Australia ;Thomas Sewell, National ICT Australia ;Harvey Tuch, National ICT Australia ;Simon Winwood, National ICT Australia
2007	Sinfonia: a new paradigm for building scalable distributed systems	Marcos K. Aguilera, Hewlett Packard;Arif Merchant, Hewlett Packard ;Mehul Shah, Hewlett Packard ;Alistair Veitch, Hewlett Packard ;Christos Karamanolis, VMware Inc.
	Zyzzyva: speculative byzantine fault tolerance	Ramakrishna Kotla, University of Texas at Austin;Lorenzo Alvisi, University of Texas at Austin ;Mike Dahlin, University of Texas at Austin ;Allen Clement, University of Texas at Austin ;Edmund Wong, University of Texas at Austin
	Secure Web Applications via Automatic Partitioning	Stephen Chong, Cornell University;Jed Liu, Cornell University ;Andrew C. Myers, Cornell University ;Xin Qi, Cornell University ;K. Vikram, Cornell University ;Lantian Zheng, Cornell University ;Xin Zheng, Cornell University
2005	Rx: treating bugs as allergies - a safe method to survive software failures	Feng Qin, University of Illinois at Urbana–Champaign;Joseph Tucek, University of Illinois at Urbana–Champaign ;Jagadeesan Sundaresan, University of Illinois at Urbana–Champaign ;Yuanyuan Zhou, University of Illinois at Urbana–Champaign
	BAR Tolerance for Cooperative Services	Amitanand S. Aiyer, University of Texas at Austin;Lorenzo Alvisi, University of Texas at Austin ;Allen Clement, University of Texas at Austin ;Mike Dahlin, University of Texas at Austin ;Jean-Philippe Martin, University of Texas at Austin ;Carl Porth, University of Texas at Austin
	Speculative Execution in a Distributed File System	Edmund B. Nightingale, University of Michigan;Peter M. Chen, University of Michigan ;Jason Flinn, University of Michigan
	Vigilante: End-to-End Containment of Internet Worms	Manuel Costa, University of Cambridge;Jon Crowcroft, University of Cambridge ;Miguel Castro, Microsoft ;Antony Rowstron, Microsoft ;Lidong Zhou, Microsoft ;Lintao Zhang, Microsoft ;Paul Barham, Microsoft
2003	Improving the Reliability of Commodity Operating Systems	Michael M. Swift, University of Washington;Brian N. Bershad, University of Washington ;Henry M. Levy, University of Washington
	Preserving peer replicas by rate-limited sampled voting	Petros Maniatis, Stanford University;David S. H. Rosenthal, Stanford University ;Mema Roussopoulos, Stanford University ;Mary Baker, Stanford University ;TJ Giuli, Stanford University ;Yanto Muliadi, Stanford University
	Backtracking intrusions	Samuel T. King & Peter M. Chen, University of Michigan
2001	Untrusted hosts and confidentiality: secure program partitioning	Steve Zdancewic, Cornell University;Lantian Zheng, Cornell University ;Nathaniel Nystrom, Cornell University ;Andrew C. Myers, Cornell University
	BASE: using abstraction to improve fault tolerance	Rodrigo Rodrigues, Massachusetts Institute of Technology;Miguel Castro, Microsoft ;Barbara Liskov, Massachusetts Institute of Technology
1999	Manageability, availability and performance in Porcupine: a highly scalable, cluster-based mail service	Yasushi Saito, University of Washington;Brian N. Bershad, University of Washington ;Henry M. Levy, University of Washington
	Cellular Disco: resource management using virtual clusters on shared-memory multiprocessors	Kinshuk Govil, Stanford University;Dan Teodosiu, Hewlett Packard ;Yongqiang Huang, Stanford University ;Mendel Rosenblum, Stanford University
	The Click modular router	Robert Morris, Massachusetts Institute of Technology;Eddie Kohler, Massachusetts Institute of Technology ;John Jannotti, Massachusetts Institute of Technology ;M. Frans Kaashoek, Massachusetts Institute of Technology
	Soft timers: efficient microsecond software timer support for network processing	Mohit Aron & Peter Druschel, Rice University
1997	Eraser: a dynamic data race detector for multithreaded programs	Stefan Savage, University of Washington;Michael Burrows, Digital Equipment Corporation ;Greg Nelson, Digital Equipment Corporation ;Patrick Sobalvarro, Digital Equipment Corporation ;Thomas Anderson, University of California, Berkeley
	Continuous profiling: where have all the cycles gone?	Jennifer M. Anderson, Digital Equipment Corporation;Lance M. Berc, Digital Equipment Corporation ;Jeffrey Dean, Digital Equipment Corporation ;Sanjay Ghemawat, Digital Equipment Corporation ;Monika R. Henzinger, Digital Equipment Corporation ;Shun-Tak A. Leung, Digital Equipment Corporation ;Richard L. Sites, Digital Equipment Corporation ;Mark T. Vandevoorde, Digital Equipment Corporation ;Carl A. Waldspurger, Digital Equipment Corporation ;William E. Weihl, Digital Equipment Corporation
	Disco: running commodity operating systems on scalable multiprocessors	Edouard Bugnion, Stanford University;Scott Devine, Stanford University ;Mendel Rosenblum, Stanford University
STOC (Theory)		
2021	A (Slightly) Improved Approximation Algorithm for Metric TSP	Anna R. Karlin, University of Washington;Nathan Klein, University of Washington ;Shayan Oveis Gharan, University of Washington
	The Complexity of Gradient Descent: CLS = PPAD ∩ PLS	John Fearnley, University of Liverpool;Paul W. Goldberg, University of Oxford ;Alexandros Hollender, University of Oxford ;Rahul Savani, University of Liverpool
	Indistinguishability Obfuscation from Well-Founded Assumptions	Aayush Jain, University of California, Los Angeles;Huijia Lin, University of Washington ;Amit Sahai, University of California, Los Angeles
2020	Improved Bounds for The Sunflower Lemma	Ryan Alweiss, Princeton University;Shachar Lovett, University of California, San Diego ;Kewen Wu, Peking University ;Jiapeng Zheng, Harvard University
2019	The Reachability Problem for Petri Nets is Not Elementary	Wojciech Czerwinski, University of Warsaw;Slawomir Lasota, University of Warsaw ;Ranko Lazic, University of Warsaw ;Jerome Leroux, National Center for Scientific Research ;Filip Mazowiecki, University of Bordeaux
2018	A Constant-Factor Approximation Algorithm for the Asymmetric Traveling Salesman Problem	Ola Svensson, École Polytechnique Fédérale de Lausanne;Jakub Tarnawski, École Polytechnique Fédérale de Lausanne ;László A. Végh, London School of Economics and Political Science
2017	Explicit, Almost Optimal, Epsilon-Balanced Codes	Amnon Ta-Shma, Tel Aviv University
	Deciding Parity Games in Quasipolynomial Time	Cristian S. Calude, University of Auckland;Sanjay Jain, National University of Singapore ;Bakhadyr Khoussainov, University of Auckland ;Wei Li, National University of Singapore ;Frank Stephan, National University of Singapore
	A Weighted Linear Matroid Parity Algorithm	Satoru Iwata, University of Tokyo ;Yusuke Kobayashi, University of Tsukuba
2016	Reed-Muller Codes Achieve Capacity on Erasure Channels	Shrinivas Kudekar, Qualcomm;Santhosh Kumar, Texas A&M University ;Marco Mondelli, École Polytechnique Fédérale de Lausanne ;Henry D. Pfister, Duke University ;Eren Sasoglu, Intel ;Rudiger Urbanke, École Polytechnique Fédérale de Lausanne
	Explicit Two-Source Extractors and Resilient Functions	Eshan Chattopadhyay & David Zuckerman, University of Texas at Austin
	Graph Isomorphism in Quasipolynomial Time	László Babaí, University of Chicago
2015	Exponential Separation of Information and Communication for Boolean Functions	Anat Ganor, Weizmann Institute of Science;Gillat Kol, Princeton University ;Ran Raz, Weizmann Institute of Science
	Lower Bounds on the Size of Semidefinite Programming Relaxations	James R. Lee, University of Washington;Prasad Raghavendra, University of California, Berkeley ;David Steurer, Cornell University
	2-Server PIR with sub-polynomial communication	Zeev Dvir & Sivakanth Gopi, Princeton University
